Search,Search Count,Last Search Date
"wildcards:<C:\|E:\>*datagrip*\ content:6913f5ca-157c-466d-a665-fd00da9a",1,132593418797761633
"wildcards:<C:\|E:\>*datagrip* content:c6027c7c",1,132593392736142721
"wildcards:<C:\|E:\>*datagrip* content:c6027c7c-a449-44f3-b912-b60c75368aca",1,132593392201397443
"wildcards:<C:\|E:\>*datagrip*\system\conversion",1,132593388376862695
"C:\|E:\ datagrip \system\conversion",1,132593388060799646
"datagrip \system\conversion",1,132593387969678059
"datagrip ""\system\conversion""",1,132593387896084406
"""\system\conversion"" datagrip",1,132593387648273478
"""\system\conversion""",1,132593387172114080
"\.datagrip|\datagrip !folder: datemodified:2021-03-04",1,132593386382658692
"\.datagrip|\datagrip !folder:",1,132593385123431790
"\.datagrip|\datagrip folder:",1,132593383433276511
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db >  !folder: content:title",1,132593313190619357
"""G:\My Pictures\"" !ext:png !ext:jpg",1,132591854174165562
"""E:\ToDatabase\uTorrent"" !\what.cd\ !ext:torrent !folder:",1,132591612518159430
"""E:\ToDatabase\uTorrent"" !\what.cd\",1,132591606205441134
"""E:\ToDatabase\uTorrent""",1,132591573078422569
"""e:\utorrent\""",1,132591572909988503
"furr",1,132591432521556301
"""E:\Pictures\Pictures\"" !\unsorted\ childfilecount:1..300 parents:3",1,132591430591185622
"""E:\Pictures\Pictures\"" !\unsorted\ childfilecount:1",1,132591429601947707
"""E:\Pictures\Pictures\"" !\unsorted\ folder:",1,132591423320814495
"""E:\Pictures\Pictures\"" empty:",1,132591422143132089
"""E:\Pictures\Pictures\"" ",1,132591422039968679
"""E:\Pictures\Pictures"" empty:",1,132591421274080003
"E:\Pictures\Pictures",1,132591421066874089
"E:\Pictures\Pictures empty:",1,132591033565213837
"E:\ ""E:\Anything"" empty:",1,132591008315281420
"E:\ ""E:\Pictures\unsorted\"" empty:",1,132591000600412167
"E:\ ""E:\Pictures\unsorted\""",1,132590979922114046
"""E:\Pictures\unsorted\""",1,132590979791688763
"E:\pictures\x\internet\  !\$ size:medium-gigantic ",1,132590729495838861
"E:\ !\$ size:medium-gigantic !E:\pictures\x\internet\",1,132590721642811772
"E:\ !\$ size:medium-gigantic !\E:\pictures\x\internet\",1,132590721582174412
"E:\ !\$ size:medium-gigantic !\E:\pictures\x\internet",1,132590721442088828
"E:\ !\$ size:medium-gigantic",1,132590709595957649
"E:\ !\$",1,132590709051240995
"E:\",1,132590708913994915
"<C:|E:>\program files\  folder: parents:2 !child:.exe",1,132590188963408837
"internal/streams/stream",1,132589221878958374
"cjs",1,132589220050901355
"loader.js",1,132589218801020281
"cjs/loader",1,132589218551114846
"internal/modules/cjs/loader",1,132589218489484992
""".config"" !folder: !\$",1,132589215870712628
"_stream_readable.js",1,132589213957227812
"""/internal/streams/stream""",1,132589209538952651
"""E:\SteamLibrary\steamapps\workshop\content\221380\""",1,132589199606748397
"ext:ai",1,132589199347829503
"/age ext:dat",1,132588623855081106
"ext:slp",1,132588623056521348
"ext:drs",1,132588622559153887
"E:\SteamLibrary\steamapps\workshop\content\221380\ folder: !""E:\SteamLibrary\steamapps\workshop\content\221380\281802458""",1,132588353128238264
"E:\SteamLibrary\steamapps\workshop\content\221380\ folder:",1,132588352643574320
"\age ext:exe",1,132588349865106276
"\age",1,132588349214329213
"age",1,132588349116642425
"wholefilename:""config"" !folder:",1,132588325006102829
"""E:\SabrinaDrive\Documents and Settings\Sabrina\My Documents\Downloads"" folder:",1,132588313172996992
"""E:\SabrinaDrive\Documents and Settings\Sabrina\My Documents\Downloads"" !Directory:",1,132588312916069812
"""E:\SabrinaDrive\Documents and Settings\Sabrina\My Documents\Downloads""",1,132588312275678908
"50533",1,132588296497181699
"filesystem.cpp",1,132588290174659001
"filsystem.cpp",1,132588290025659834
"E:\SteamLibrary\steamapps\workshop\content folder: parents:9",1,132588207748389337
"E:\SteamLibrary\steamapps\workshop\content folder: parents:8",1,132588207309920796
"E:\SteamLibrary\steamapps\workshop\content folder:",1,132588200159635354
"E:\SteamLibrary\steamapps\workshop\content",1,132588199836733217
"E:\SteamLibrary\steamapps\workshop\content\",1,132588192243244790
"beond",1,132588188649845052
"resources\_common\ai",1,132588184152575788
"ai",1,132588182700793782
"ext:xml !\$",1,132588030616455065
"ext:download",1,132587521582491953
"<child:.vscode|child:.git> !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",1,132587440212392166
"<child:.vscode|.git> !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",1,132587440009357491
"child:<"".vscode""|"".git""> !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",1,132587439568483473
"<"".vscode""|"".git""> child: !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",1,132587439095451275
"<.vscode> | <.git> child: !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",1,132587438709377522
"regex:child:<""^[.]vscode$""|""^[.]git$""> !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",1,132587437260267905
"beebeep",1,132586770873949348
"E:\ ~ !folder: !E:\$",1,132586699479303462
"G:\ folder:",1,132586669498799227
"G:\",1,132586669288029099
"<regex:child:""^[.]idea$"" !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$> ",1,132585872238188966
"<regex:child:""^[.]idea$"" !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$> a",1,132585842674858217
"<regex:child:""^[.]git$"" !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$> a",1,132585720739211873
"!D:\ wildcards:attrib:<*L*>",1,132583162308394746
" E:\ C:\",1,132583161169598908
"wildcard: E:\ C:\",1,132583161129366579
"zlib.dll",1,132583158511130747
" !C:\$ !E:\$ linkman",1,132582981863040948
"ext:dll !C:\$ !E:\$ ""linkman""",1,132582980082685917
"ext:dll !C:\$ !E:\$ ""libeay32""",1,132582979744257438
"ext:dll !C:\$ !E:\$ ""libssl32""",1,132582979196875359
"ext:dll !C:\$ !E:\$ ""ssleay32.dll""",1,132582978669365554
"ext:dll !C:\$ !E:\$ ""sqlite3.dll""",1,132582978201341679
"ext:dll !C:\$ !E:\$ sqlite",1,132582977926724357
"ext:dll !D:\ !E:\$ !C:\$ !C:\windows !E:\windows !dupe: content:",1,132582522750307292
"ext:dll !D:\ !E:\$ !C:\$ !C:\windows !E:\windows",1,132582521404296745
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db >  !folder: ",1,132582494779813872
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db > ",1,132582494423474869
"""E:\Programming(projects)\Sql\consoles\db"" !folder: content:union",1,132579101735240240
"""E:\Programming(projects)\Sql\consoles\db"" !folder: !E:\Programming(projects)\Sql\consoles\db\df12b0e0",1,132579091038113831
"""E:\Programming(projects)\Sql\consoles\db"" !folder:",1,132579090402928442
"consoles",1,132579089447942476
"C:\Users\Dator\ consoles",1,132579088886278927
"C:\ config\consoles\db",1,132579087813457429
"C",1,132579087254943236
"config\consoles\db\",1,132579086590785927
"C:\Users\Dator\.DataGrip2019.1\config\consoles\db\",1,132579083325502904
"""C:\Users\Dator\.DataGrip2019.1\config\consoles\db\"" ",1,132579082714398519
"E:\.DataGrip2019.1\config\consoles !folder: !E:\.DataGrip2019.1\config\consoles\db\df12b0e0-4edc-4d15-ad9c-975f1eb86a9f\",1,132579079931037956
"config\consoles\db !folder: !E:\.DataGrip2019.1\config\consoles\db\df12b0e0-4edc-4d15-ad9c-975f1eb86a9f\",1,132579078209551097
"regex:child:""^[.]git$"" !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\""",1,132578924265397687
"regex:child:""^[.]git$"" !mapinfo !mapbasic",1,132578922052373811
"regex:child:""^[.]git$"" !mapinfo",1,132578921865524952
"config\consoles\db !folder: content:""ASCII""",1,132578766600425630
"config\consoles\db !folder: content:""ASCII_REF""",1,132578766211500000
"config\consoles\db !folder: content:""UNION ALL""",1,132578755547954582
"config\consoles\db !folder: content:'/'",1,132578753890363034
"config\consoles\db !folder: content:""\""",1,132578753488190632
"config\consoles\db !dir:",1,132578725461577416
"E:\PortableApps disk",1,132578145185481048
"SendTo",1,132578048075746496
"lib",1,132578017438272101
"E:\Pictures",1,132578015298529780
"VueScan",1,132578012879653460
"Morrowind",1,132578003982666101
"MorrowindMods",1,132578003882842059
"atma",1,132578000993212885
"NWN2Editor.zip-929-4-1",1,132578000677082432
"loot",1,132577999759037433
"klei",1,132577998781247074
"MWScriptExtender",1,132577989659789880
"SimpleGra",1,132577971628520917
"path of ",1,132577971226373575
"digsby",1,132577964143834942
"path of bu",1,132577953142482471
"ath of",1,132577953040449532
"fomod",1,132577951585622416
"C:\ ""Origin""",1,132577949628316900
"capture_pa",1,132577942628632073
"winrar",1,132577939725987903
"ext:java",1,132577928373043101
"ext:js",1,132577925070000763
"jdk",1,132577245866405820
"C:\ java",1,132577240271272497
"Java",1,132577239924665241
"Oracle\Java\",1,132577239835141841
"\ProgramData\Oracle\Java\",1,132577239417249995
"D:\ProgramData\Oracle\Java\",1,132577239169831768
